#OTU ID,19.0,20.0,19.0 C,20.0 C
Bacteria;Lentisphaerae;Oligosphaeria;Oligosphaerales;Lenti-02;uncultured bacterium;uncultured bacterium,0,0,0,0
Bacteria;Marinimicrobia (SAR406 clade);uncultured Bacteroidetes/Chlorobi group bacterium;uncultured Bacteroidetes/Chlorobi group bacterium;uncultured Bacteroidetes/Chlorobi group bacterium;uncultured Bacteroidetes/Chlorobi group bacterium;uncultured Bacteroidetes/Chlorobi group bacterium,0,0,7,0
Bacteria;Marinimicrobia (SAR406 clade);uncultured bacterium;uncultured bacterium;uncultured bacterium;uncultured bacterium;uncultured bacterium,0,0,0,0
Bacteria;Marinimicrobia (SAR406 clade),0,0,0,0
Bacteria;Omnitrophicaeota;Omnitrophia;Omnitrophales;Omnitrophaceae;Candidatus Omnitrophus;uncultured bacterium,0,0,0,0
Bacteria;Omnitrophicaeota;Omnitrophia;Omnitrophales;Omnitrophaceae;Candidatus Omnitrophus,0,0,0,0
Bacteria;Omnitrophicaeota;Omnitrophica WOR_2 bacterium RIFCSPLOWO2_12_FULL_51_24;Omnitrophica WOR_2 bacterium RIFCSPLOWO2_12_FULL_51_24;Omnitrophica WOR_2 bacterium RIFCSPLOWO2_12_FULL_51_24;Omnitrophica WOR_2 bacterium RIFCSPLOWO2_12_FULL_51_24;Omnitrophica WOR_2 bacterium RIFCSPLOWO2_12_FULL_51_24,0,0,0,0
Bacteria;Omnitrophicaeota;uncultured Omnitrophica bacterium;uncultured Omnitrophica bacterium;uncultured Omnitrophica bacterium;uncultured Omnitrophica bacterium;uncultured Omnitrophica bacterium,5,16,0,0
Bacteria;Omnitrophicaeota;uncultured Verrucomicrobia bacterium;uncultured Verrucomicrobia bacterium;uncultured Verrucomicrobia bacterium;uncultured Verrucomicrobia bacterium;uncultured Verrucomicrobia bacterium,0,0,0,0
Bacteria;Omnitrophicaeota;uncultured bacterium;uncultured bacterium;uncultured bacterium;uncultured bacterium;uncultured bacterium,0,0,0,0
Bacteria;Omnitrophicaeota;uncultured organism;uncultured organism;uncultured organism;uncultured organism;uncultured organism,0,0,0,0
Bacteria;Omnitrophicaeota;uncultured planctomycete;uncultured planctomycete;uncultured planctomycete;uncultured planctomycete;uncultured planctomycete,0,0,0,0
Bacteria;Omnitrophicaeota,0,0,7,0
Bacteria;Patescibacteria;Microgenomatia;Candidatus Gottesmanbacteria;uncultured bacterium;uncultured bacterium;uncultured bacterium,0,0,0,0
Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;uncultured candidate division WS5 bacterium;uncultured candidate division WS5 bacterium;uncultured candidate division WS5 bacterium,0,0,11,0
Bacteria;Patescibacteria;WWE3;uncultured candidate division WWE3 bacterium;uncultured candidate division WWE3 bacterium;uncultured candidate division WWE3 bacterium;uncultured candidate division WWE3 bacterium,0,0,0,0
Bacteria;Patescibacteria;WWE3,0,0,0,0
Bacteria;Planctomycetes;BD7-11;uncultured planctomycete;uncultured planctomycete;uncultured planctomycete;uncultured planctomycete,0,0,0,0
Bacteria;Planctomycetes;Phycisphaerae;MSBL9;GWC2-45-44;Ambiguous_taxa;Ambiguous_taxa,0,0,0,0
Bacteria;Planctomycetes;Phycisphaerae;MSBL9;KCLunmb-38-53;uncultured bacterium;uncultured bacterium,0,0,0,0
Bacteria;Planctomycetes;Phycisphaerae;MSBL9;SG8-4;uncultured planctomycete;uncultured planctomycete,0,0,0,0
Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;AKAU3564 sediment group;uncultured bacterium;uncultured bacterium,0,0,0,0
Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;AKAU3564 sediment group;uncultured planctomycete;uncultured planctomycete,0,0,0,0
Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;AKAU3564 sediment group,0,0,0,0
Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;CL500-3;uncultured bacterium,3,0,3,0
Bacteria;Planctomycetes;Planctomycetacia;Gemmatales;Gemmataceae;uncultured;Ambiguous_taxa,3,0,19,0
Bacteria;Planctomycetes;Planctomycetacia;Isosphaerales;Isosphaeraceae;uncultured;uncultured bacterium,0,7,12,140
Bacteria;Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae;Candidatus Anammoximicrobium;uncultured bacterium,0,0,0,0
Bacteria;Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae;Pir4 lineage,0,0,0,0
Bacteria;Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae;Pirellula;Ambiguous_taxa,0,0,449,24
